Augmentation Ratio,Latent Dimension,Accuracy,AUC,Precision (Class 0),Precision (Class 1),Recall (Class 0),Recall (Class 1),Total Samples
5:2,100,0.8643,0.9285,0.91,0.77,0.88,0.83,199
5:2,50,0.8291,0.9254,0.89,0.72,0.85,0.78,199
5:2,25,0.9698,0.9972,0.98,0.94,0.97,0.97,199
5:2,10,0.9447,0.9941,0.97,0.9,0.95,0.94,199
5:2,5,0.9799,0.9863,1.0,0.94,0.97,1.0,199
2:2,100,0.9062,0.884,0.9,0.92,0.99,0.46,160
2:2,50,0.9187,0.909,0.91,1.0,1.0,0.5,160
2:2,25,0.9187,0.884,0.92,0.88,0.99,0.58,160
2:2,10,0.9187,0.8528,0.92,0.88,0.99,0.58,160
2:2,5,0.9125,0.9142,0.91,0.93,0.99,0.5,160
2:1,100,0.828,0.8927,0.88,0.69,0.88,0.69,93
2:1,50,0.8387,0.8674,0.92,0.68,0.85,0.81,93
2:1,25,0.8172,0.8335,0.87,0.68,0.88,0.65,93
2:1,10,0.7849,0.8398,0.84,0.62,0.87,0.58,93
2:1,5,0.8602,0.8576,0.89,0.78,0.93,0.69,93
No Augmentation,100,0.8125,0.6751,0.85,0.33,0.94,0.15,80
No Augmentation,50,0.7875,0.651,0.85,0.25,0.91,0.15,80
No Augmentation,25,0.8375,0.6751,0.86,0.5,0.96,0.23,80
No Augmentation,10,0.8125,0.6734,0.87,0.4,0.91,0.31,80
No Augmentation,5,0.8,0.6556,0.88,0.38,0.88,0.38,80
